subject,difficulty,question,option1,option2,option3,option4,answer,explanation
fun-facts,medium,What is the fear of long words called?,Hippopotomonstrosesquippedaliophobia,Acrophobia,Arachnophobia,Claustrophobia,Hippopotomonstrosesquippedaliophobia,It's a long word for a fear of long words.
fun-facts,hard,What is a group of crows called?,Murder,Flock,Herd,Pack,Murder,A group of crows is called a murder.
fun-facts,hard,What is the name of the longest-running television show?,The Simpsons,Gunsmoke,Law & Order,Doctor Who,The Simpsons,The Simpsons first aired in 1989 and is still running.
fun-facts,easy,What color is a polar bear's skin?,Black,White,Pink,Blue,Black,Polar bear skin is black to absorb heat.
fun-facts,medium,What is the smallest bone in the human body?,Stapes,Femur,Humerus,Ulna,Stapes,The stapes bone is in the ear and is also known as the stirrup.
fun-facts,hard,What is the only letter not in the periodic table?,J,X,Z,Q,J,The letter 'J' is not used in any element's symbol.
fun-facts,easy,What is the fear of clowns called?,Coulrophobia,Nyctophobia,Trypanophobia,Aerophobia,Coulrophobia,Coulrophobia is a specific type of phobia.
fun-facts,easy,What animal has the largest eyes in the world?,Giant squid,Ostrich,Elephant,Giraffe,Giant squid,"The giant squid has the largest eyes, about the size of a dinner plate."
fun-facts,medium,How many hearts does an octopus have?,3,1,2,4,3,"An octopus has three hearts: two pump blood to the gills, and one pumps it to the rest of the body."
fun-facts,hard,Which country has more pyramids than Egypt?,Sudan,Mexico,China,Peru,Sudan,"Sudan has over 200 pyramids, more than Egypt."
fun-facts,hard,What is the fear of balloons called?,Globophobia,Aerophobia,Claustrophobia,Nyctophobia,Globophobia,Globophobia is an irrational fear of balloons.
fun-facts,easy,What food never spoils?,Honey,Milk,Bread,Cheese,Honey,Honey is known to last indefinitely due to its low moisture and high acidity.
fun-facts,medium,What is the only state in the USA to grow coffee beans?,Hawaii,California,Florida,Texas,Hawaii,Hawaii is the only US state that commercially grows coffee.
fun-facts,medium,What is the scientific name for the 'funny bone'?,Ulnar nerve,Femur,Radius,Carpals,Ulnar nerve,The tingling sensation is caused by the ulnar nerve.
fun-facts,hard,What is the most common phobia in the world?,Arachnophobia (fear of spiders),Acrophobia (fear of heights),Claustrophobia (fear of small spaces),Nyctophobia (fear of the dark),Arachnophobia (fear of spiders),Fear of spiders is considered the most common phobia.
fun-facts,easy,What is the most active volcano in the world?,Kīlauea,Mount Etna,Mount Vesuvius,Mount Fuji,Kīlauea,Kīlauea in Hawaii has been erupting almost continuously since 1983.
fun-facts,medium,What is the only food that doesn't rot or go bad?,Honey,Bread,Milk,Cheese,Honey,Honey can last for thousands of years without spoiling.
other,easy,What is 2+2?,4,3,5,6,4,2+2=4.
other,easy,What is the name of the main character in the Harry Potter series?,Harry Potter,Ron Weasley,Hermione Granger,Albus Dumbledore,Harry Potter,Harry Potter is the protagonist of the series.
other,medium,What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter,Jupiter is the largest planet.
other,medium,How many sides does a hexagon have?,6,5,7,8,6,A hexagon is a six-sided polygon.
other,hard,What is the square root of 144?,12,11,13,10,12,12*12 = 144.
other,hard,What is the chemical formula for water?,H2O,CO2,NaCl,O2,H2O,Water is a molecule of two hydrogen atoms and one oxygen atom.
other,easy,What is the primary language spoken in Brazil?,Portuguese,Spanish,English,French,Portuguese,Brazil was a Portuguese colony.
other,medium,What is the name of the process by which plants make their food?,Photosynthesis,Respiration,Transpiration,Fermentation,Photosynthesis,Plants use sunlight to convert carbon dioxide and water into glucose.
other,hard,Which element has the atomic number 1?,Hydrogen,Helium,Oxygen,Carbon,Hydrogen,Hydrogen is the first element on the periodic table.
other,medium,Which planet is known as the 'Red Planet'?,Mars,Venus,Jupiter,Saturn,Mars,Mars has a reddish appearance due to iron oxide on its surface.
other,easy,What is the name of the main character in the Disney movie 'Frozen'?,Elsa,Anna,Olaf,Kristoff,Elsa,Elsa is the main character and is known for her ice powers.
other,medium,What is the capital of France?,Paris,London,Berlin,Rome,Paris,Paris is the capital of France.
other,hard,What is the name of the wizard in 'The Lord of the Rings'?,Gandalf,Aragorn,Frodo,Sauron,Gandalf,Gandalf is a powerful wizard in the series.
other,easy,What is the name of the bear in 'The Jungle Book'?,Baloo,Mowgli,Bagheera,Shere Khan,Baloo,Baloo is the friendly bear who befriends Mowgli.
other,medium,What is the name of the toy cowboy in the movie 'Toy Story'?,Woody,Buzz Lightyear,Slinky Dog,Mr. Potato Head,Woody,Woody is the beloved pull-string cowboy doll.
other,hard,Who wrote 'The Odyssey'?,Homer,Virgil,Sophocles,Plato,Homer,Homer is the ancient Greek poet credited with writing 'The Odyssey' and 'The Iliad'.
other,easy,What is the name of the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean.
other,medium,How many players are on a standard soccer team?,11,9,10,12,11,A standard soccer team has 11 players on the field.
other,hard,What is the name of the fictional town where 'The Simpsons' live?,Springfield,Quahog,South Park,Shelbyville,Springfield,The Simpsons live in the fictional town of Springfield.
other,medium,Who is the author of the 'Harry Potter' series?,J.K. Rowling,Stephenie Meyer,Suzanne Collins,George R.R. Martin,J.K. Rowling,J.K. Rowling is the author of the 'Harry Potter' series.
