category,difficulty,question,option1,option2,option3,option4,answer,explanation
History,Easy,Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C,Da Vinci painted the Mona Lisa between 1503-1519
History,Easy,Which empire was ruled by Julius Caesar?,Greek Empire,Roman Empire,Persian Empire,Byzantine Empire,B,Caesar was a Roman general and dictator
History,Easy,What year did the Berlin Wall fall?,1987,1989,1991,1993,B,Berlin Wall fell on November 9 1989
History,Easy,Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Oscar Wilde,B,Shakespeare wrote this tragedy around 1595
History,Easy,Which country gave the Statue of Liberty to the US?,Britain,Spain,France,Italy,C,France gifted the statue in 1886 for America's centennial
History,Easy,Who was known as the Iron Lady?,Margaret Thatcher,Queen Elizabeth,Golda Meir,Indira Gandhi,A,Thatcher was British PM known for strong leadership
History,Easy,Which war was fought between North and South in America?,Revolutionary War,Civil War,War of 1812,Spanish-American War,B,American Civil War lasted from 1861-1865
History,Medium,Who was the first person to circumnavigate the globe?,Christopher Columbus,Vasco da Gama,Ferdinand Magellan,Francis Drake,C,Magellan's expedition completed first circumnavigation in 1522
History,Medium,Which treaty ended World War I?,Treaty of Paris,Treaty of Versailles,Treaty of Trianon,Treaty of Sevres,B,Treaty of Versailles was signed in 1919
History,Medium,Who was the last Tsar of Russia?,Nicholas I,Alexander III,Nicholas II,Alexander II,C,Nicholas II abdicated in 1917 during Russian Revolution
History,Medium,Which civilization built Machu Picchu?,Maya,Aztec,Inca,Olmec,C,Incas built Machu Picchu in 15th century Peru
History,Medium,In which year did the French Revolution begin?,1787,1789,1791,1793,B,French Revolution started in 1789 with storming of Bastille
History,Medium,Who led the Mongol Empire at its peak?,Genghis Khan,Kublai Khan,Ogedei Khan,Batu Khan,A,Genghis Khan founded and expanded the Mongol Empire
History,Medium,Which event triggered World War I?,Assassination of Archduke Franz Ferdinand,Sinking of Lusitania,German invasion of Belgium,Russian mobilization,A,Ferdinand's assassination in Sarajevo started WWI
History,Medium,Who was the first woman to win a Nobel Prize?,Marie Curie,Dorothy Hodgkin,Rosalind Franklin,Barbara McClintock,A,Marie Curie won Physics Nobel in 1903
History,Medium,Which Chinese dynasty built the Great Wall?,Han,Ming,Qing,Tang,B,Ming Dynasty built most of current Great Wall
History,Medium,Who discovered America before Columbus?,Leif Erikson,Amerigo Vespucci,John Cabot,Henry Hudson,A,Viking Leif Erikson reached North America around 1000 AD
History,Hard,Who was the Byzantine Emperor during the Fourth Crusade?,Alexios IV Angelos,Isaac II Angelos,Alexios V Doukas,John Kantakouzenos,A,Alexios IV was emperor when Crusaders took Constantinople
History,Hard,Which battle ended Napoleon's Hundred Days?,Waterloo,Leipzig,Austerlitz,Borodino,A,Battle of Waterloo in 1815 ended Napoleon's return
History,Hard,Who wrote the Ninety-Five Theses?,John Calvin,Martin Luther,Huldrych Zwingli,John Wycliffe,B,Luther posted his theses in 1517 starting Reformation
History,Hard,Which treaty established the Holy Roman Empire?,Treaty of Verdun,Treaty of Mersen,Diploma Ottonianum,Golden Bull,A,Treaty of Verdun in 843 divided Charlemagne's empire
History,Hard,Who was the Carthaginian general in the Second Punic War?,Hamilcar Barca,Hasdrubal,Hannibal,Mago,C,Hannibal led Carthage against Rome crossing Alps
History,Hard,Which Pharaoh built the first pyramid?,Djoser,Khufu,Khafre,Menkaure,A,Step Pyramid of Djoser was first pyramid built
History,Hard,Who was the first Mughal emperor of India?,Babur,Humayun,Akbar,Shah Jahan,A,Babur founded Mughal Empire after Battle of Panipat 1526
History,Hard,Which Pope called for the First Crusade?,Urban II,Gregory VII,Innocent III,Alexander II,A,Pope Urban II called First Crusade at Council of Clermont 1095
History,Hard,Who was the last Western Roman Emperor?,Romulus Augustulus,Julius Nepos,Glycerius,Olybrius,A,Romulus Augustulus was deposed in 476 AD
History,Hard,Which ancient Greek city-state was known for its navy?,Athens,Sparta,Thebes,Corinth,A,Athens had powerful naval fleet during Classical period
Geography,Easy,Which is the longest river in the world?,Amazon,Nile,Mississippi,Yangtze,B,Nile River is about 4135 miles long
Geography,Easy,What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,B,Vatican City is 0.17 square miles
Geography,Easy,Which mountain range contains Mount Everest?,Alps,Andes,Himalayas,Rocky Mountains,C,Everest is in Himalayas between Nepal and Tibet
Geography,Easy,What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,C,Canberra is Australia's capital since 1913
Geography,Easy,Which desert is the largest in the world?,Sahara,Gobi,Kalahari,Arabian,A,Sahara covers about 3.5 million square miles
Geography,Easy,What is the deepest ocean trench?,Puerto Rico Trench,Japan Trench,Mariana Trench,Peru-Chile Trench,C,Mariana Trench reaches depth of 36200 feet
Geography,Easy,Which country has the most natural lakes?,Canada,Finland,Russia,Sweden,A,Canada has over 2 million lakes
Geography,Easy,What is the highest waterfall in the world?,Niagara Falls,Victoria Falls,Angel Falls,Iguazu Falls,C,Angel Falls in Venezuela drops 3212 feet
Geography,Easy,Which strait separates Europe and Asia?,Bering Strait,Strait of Gibraltar,Bosphorus Strait,Strait of Hormuz,C,Bosphorus connects Europe and Asia in Turkey
Geography,Easy,What is the largest island in the world?,Madagascar,Greenland,New Guinea,Borneo,B,Greenland covers about 836000 square miles
Geography,Medium,Which African country is completely surrounded by South Africa?,Botswana,Lesotho,Swaziland,Zimbabwe,B,Lesotho is an enclave within South Africa
Geography,Medium,What is the deepest lake in the world?,Lake Superior,Lake Baikal,Caspian Sea,Lake Tanganyika,B,Lake Baikal reaches maximum depth of 5387 feet
Geography,Medium,Which city straddles two continents?,Istanbul,Cairo,Casablanca,Tehran,A,Istanbul spans Europe and Asia across Bosphorus
Geography,Medium,What is the driest place on Earth?,Death Valley,Sahara Desert,Atacama Desert,Antarctica,C,Atacama Desert receives less than 0.04 inches annually
Geography,Medium,Which country has the longest coastline?,Canada,Russia,Australia,Norway,A,Canada has over 125000 miles of coastline
Geography,Medium,What is the largest salt flat in the world?,Bonneville,Salar de Uyuni,Makgadikgadi,Chott el Djerid,B,Salar de Uyuni in Bolivia covers 4086 square miles
Geography,Medium,Which river flows through the most countries?,Danube,Rhine,Congo,Amazon,A,Danube flows through 10 countries in Europe
Geography,Medium,What is the southernmost capital city in the world?,Wellington,Canberra,Cape Town,Buenos Aires,A,Wellington New Zealand is southernmost national capital
Geography,Medium,Which sea has no coastline?,Sargasso Sea,Caribbean Sea,Mediterranean Sea,North Sea,A,Sargasso Sea is bounded only by ocean currents
Geography,Medium,What is the largest country entirely in Europe?,Ukraine,France,Spain,Germany,A,Ukraine is largest country wholly within Europe
Geography,Hard,Which projection preserves area but distorts shape?,Mercator,Peters,Robinson,Mollweide,B,Peters projection maintains accurate relative areas
Geography,Hard,What is the antipodal point of London?,New Zealand,Chile,Australia,Argentina,A,London's antipode is in Pacific Ocean near New Zealand
Geography,Hard,Which country has the most UNESCO World Heritage Sites?,Italy,China,Spain,France,A,Italy has 59 UNESCO World Heritage Sites
Geography,Hard,What is the name of the boundary between two tectonic plates?,Transform boundary,Convergent boundary,Divergent boundary,All of the above,D,All three are types of plate boundaries
Geography,Hard,Which ocean current affects Europe's climate?,Gulf Stream,Kuroshio Current,Benguela Current,California Current,A,Gulf Stream brings warm water to Western Europe
Geography,Hard,What is the study of place names called?,Toponymy,Cartography,Demography,Hydrology,A,Toponymy studies origin and meaning of place names
Geography,Hard,Which line of latitude is at 66.5° North?,Arctic Circle,Tropic of Cancer,Tropic of Capricorn,Antarctic Circle,A,Arctic Circle marks edge of midnight sun phenomenon
Geography,Hard,What is the lowest point on Earth's land surface?,Death Valley,Dead Sea,Afar Depression,Caspian Sea,B,Dead Sea shore is 1412 feet below sea level
Geography,Hard,Which country has territory on both sides of the equator?,Ecuador,Colombia,Brazil,Gabon,D,Gabon spans the equator in Central Africa
Geography,Hard,What is the most remote inhabited island?,Tristan da Cunha,Easter Island,St. Helena,Pitcairn Island,A,Tristan da Cunha is 1750 miles from nearest land
Computer,Easy,What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Program Unit,Computer Program Unit,A,CPU is the main processor that executes instructions
Computer,Easy,What is the binary equivalent of decimal 10?,1001,1010,1100,1101,B,10 in decimal equals 1010 in binary
Computer,Easy,Which company created Windows?,Apple,Microsoft,Google,IBM,B,Microsoft developed Windows operating system
Computer,Easy,What does RAM stand for?,Read Access Memory,Random Access Memory,Rapid Access Memory,Remote Access Memory,B,RAM provides temporary storage for running programs
Computer,Easy,Which key combination copies text in Windows?,Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+Z,A,Ctrl+C copies selected text to clipboard
Computer,Easy,What is a byte?,8 bits,16 bits,32 bits,64 bits,A,One byte consists of 8 binary digits (bits)
Computer,Easy,Which programming language is named after a snake?,Java,Python,C++,Ruby,B,Python is named after Monty Python's Flying Circus
Computer,Easy,What does WWW stand for?,World Wide Web,World Web Window,Wide World Web,Web Wide World,A,WWW refers to the system of interlinked documents
Computer,Easy,Which device is used to point and click?,Keyboard,Mouse,Monitor,Printer,B,Mouse is primary pointing device for computers
Computer,Easy,What is the main circuit board in a computer called?,Motherboard,Fatherboard,Mainboard,Baseboard,A,Motherboard connects all computer components together
Computer,Medium,What is the time complexity of binary search?,O(1),O(log n),O(n),O(n²),B,Binary search eliminates half the elements each step
Computer,Medium,Which protocol is used for secure web browsing?,HTTP,HTTPS,FTP,SMTP,B,HTTPS encrypts data transmission between browser and server
Computer,Medium,What does SQL stand for?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,A,SQL is used to manage relational databases
Computer,Medium,Which data structure uses LIFO principle?,Queue,Stack,Array,Tree,B,Stack follows Last In First Out principle
Computer,Medium,What is the maximum value of an 8-bit unsigned integer?,127,255,256,511,B,8 bits can represent 0-255 (2^8 - 1)
Computer,Medium,Which sorting algorithm has best average time complexity?,Bubble Sort,Insertion Sort,Merge Sort,Selection Sort,C,Merge Sort has O(n log n) average time complexity
Computer,Medium,What does API stand for?,Application Programming Interface,Advanced Programming Interface,Automated Programming Interface,Applied Programming Interface,A,APIs define how software components communicate
Computer,Medium,Which database model uses tables?,Hierarchical,Network,Relational,Object-oriented,C,Relational databases organize data in tables
Computer,Medium,What is the default port for HTTP?,21,22,80,443,C,HTTP uses port 80 for web server communication
Computer,Medium,Which language is primarily used for web styling?,HTML,CSS,JavaScript,PHP,B,CSS (Cascading Style Sheets) styles web page appearance
Computer,Hard,What is the space complexity of merge sort?,O(1),O(log n),O(n),O(n log n),C,Merge sort requires O(n) additional space for merging
Computer,Hard,Which consistency model allows reading uncommitted data?,Strict,Sequential,Causal,Eventual,D,Eventual consistency may return stale uncommitted data
Computer,Hard,What is the maximum number of comparisons in quicksort worst case?,O(log n),O(n),O(n log n),O(n²),D,Quicksort worst case occurs with already sorted input
Computer,Hard,Which cache replacement policy approximates optimal?,LRU,FIFO,Random,Clock,A,LRU (Least Recently Used) approximates optimal replacement
Computer,Hard,What is the Byzantine Generals Problem about?,Network routing,Distributed consensus,Load balancing,Data encryption,B,Problem of achieving consensus with unreliable communication
Computer,Hard,Which data structure supports range queries efficiently?,Array,Linked List,Segment Tree,Hash Table,C,Segment trees enable O(log n) range queries
Computer,Hard,What is the CAP theorem?,Consistency Availability Partition tolerance,Concurrency Atomicity Persistence,Cache Algorithm Protocol,Central Access Point,A,CAP theorem: can't have all three simultaneously
Computer,Hard,Which algorithm finds shortest paths from single source?,Dijkstra's,Floyd-Warshall,Bellman-Ford,Kruskal's,A,Dijkstra's algorithm finds shortest paths from one vertex
Computer,Hard,What is the halting problem?,Undecidable problem,NP-complete problem,P problem,Co-NP problem,A,Cannot determine if arbitrary program will halt
Computer,Hard,Which protocol ensures reliable data delivery?,UDP,TCP,ICMP,ARP,B,TCP provides reliable connection-oriented communication
Artificial Intelligence,Easy,What does AI stand for?,Automated Intelligence,Artificial Intelligence,Advanced Intelligence,Applied Intelligence,B,AI refers to machine intelligence mimicking human cognition
Artificial Intelligence,Easy,Which test measures machine intelligence?,Turing Test,IQ Test,Stanford Test,MIT Test,A,Turing Test evaluates if machine can exhibit intelligent behavior
Artificial Intelligence,Easy,What is machine learning?,Programming explicit rules,Learning from data,Copying human behavior,Following algorithms,B,ML enables computers to learn patterns from data
Artificial Intelligence,Easy,Which company created ChatGPT?,Google,Microsoft,OpenAI,Meta,C,OpenAI developed ChatGPT as conversational AI system
Artificial Intelligence,Easy,What does NLP stand for?,Natural Language Processing,Neural Language Programming,Network Language Protocol,New Language Platform,A,NLP enables computers to understand human language
Artificial Intelligence,Easy,Which is an example of supervised learning?,Clustering,Classification,Reinforcement learning,Unsupervised learning,B,Classification uses labeled data to predict categories
Artificial Intelligence,Easy,What is a neural network inspired by?,Computer circuits,Brain neurons,Mathematical equations,Logic gates,B,Neural networks mimic biological neuron connections
Artificial Intelligence,Easy,Which AI can beat humans at chess?,Deep Blue,AlphaGo,Watson,Siri,A,IBM's Deep Blue defeated world champion Garry Kasparov
Artificial Intelligence,Easy,What is computer vision?,Understanding text,Recognizing images,Processing speech,Playing games,B,Computer vision enables machines to interpret visual information
Artificial Intelligence,Easy,Which learning requires no labeled data?,Supervised,Unsupervised,Semi-supervised,Reinforcement,B,Unsupervised learning finds patterns in unlabeled data
Artificial Intelligence,Easy,What is an AI chatbot?,Gaming AI,Conversational AI,Image recognition AI,Self-driving AI,B,Chatbots simulate human conversation through text or voice
Artificial Intelligence,Medium,What is deep learning based on?,Decision trees,Neural networks,Rule-based systems,Expert systems,B,Deep learning uses multi-layered neural networks
Artificial Intelligence,Medium,Which algorithm is used for reinforcement learning?,Q-learning,K-means,Linear regression,Decision trees,A,Q-learning learns optimal actions through trial and error
Artificial Intelligence,Medium,What is overfitting in machine learning?,Model performs well on training data only,Model performs poorly,Model is too simple,Model has no bias,A,Overfitting memorizes training data but fails on new data
Artificial Intelligence,Medium,Which technique reduces overfitting?,Regularization,Feature scaling,Data augmentation,Cross-validation,A,Regularization adds penalty terms to prevent overfitting
Artificial Intelligence,Medium,What is the vanishing gradient problem?,Gradients become too large,Gradients become too small,No gradients computed,Gradients oscillate,B,Deep networks suffer from diminishing gradient signals
Artificial Intelligence,Medium,Which AI defeated Go world champion?,Deep Blue,AlphaGo,Watson,Stockfish,B,Google's AlphaGo beat Lee Sedol in 2016
Artificial Intelligence,Medium,What is transfer learning?,Learning multiple tasks,Transferring knowledge between tasks,Learning without data,Transferring models,B,Transfer learning applies knowledge from one domain to another
Artificial Intelligence,Medium,Which activation function helps with vanishing gradients?,Sigmoid,Tanh,ReLU,Softmax,C,ReLU activation function mitigates vanishing gradient problem
Artificial Intelligence,Medium,What is ensemble learning?,Using single model,Combining multiple models,Learning ensembles,Model averaging,B,Ensemble methods combine predictions from multiple models
Artificial Intelligence,Medium,Which metric measures classification accuracy?,Mean squared error,Precision and recall,R-squared,Mean absolute error,B,Precision and recall evaluate classification performance
Artificial Intelligence,Hard,What is the attention mechanism in transformers?,Focusing on important parts,Paying attention to inputs,Weighting input importance,All of the above,D,Attention weighs importance of different input parts
Artificial Intelligence,Hard,Which optimization algorithm adapts learning rates?,SGD,Adam,Momentum,RMSprop,B,Adam combines momentum and adaptive learning rates
